id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.08,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,94,180,169,2013-08-27,1.08,2,365,0,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,26,2011-08-30,0.18,1,124,0,
573892,DOWNTOWN TORONTO LUXURY FURNISHED CORPORATE SUITE,2175675,Frank,,Waterfront Communities-The Island,43.64278,-79.37985,Entire home/apt,119,28,83,2022-04-16,0.70,2,293,1,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,126,180,1,2010-08-11,0.01,2,365,0,
579918,Luxury Queen West Private Loft,1160065,Vonnell,,Niagara,43.63987,-79.42034,Entire home/apt,130,28,13,2019-08-28,0.11,1,0,0,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,145,120,0,,,7,157,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,100,28,114,2022-01-29,0.79,4,328,1,
43964,Entire 2-bedrm basement private entry free parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,100,2,42,2022-05-20,0.64,1,297,11,STR-2012-FMQPHC
593324,Charming Victorian in Leslieville,2929774,Susan,,South Riverdale,43.66114,-79.34742,Entire home/apt,115,28,7,2015-10-06,0.06,1,0,0,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,85,28,2,2021-11-20,0.02,1,33,1,
602407,Large bedroom with private bathroom,2980659,Nanou,,Woodbine Corridor,43.67774,-79.31352,Private room,71,28,40,2019-08-10,0.34,1,349,0,
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,61,2022-03-01,0.43,16,222,3,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,79,28,8,2017-08-27,0.06,16,155,0,
1033151,The Great Gerrard - Paris Suite,377846,Nick & Nena,,East End-Danforth,43.6809,-79.30485,Entire home/apt,64,28,43,2022-04-01,0.39,10,155,1,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,134,28,81,2022-04-30,0.57,16,259,3,
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,80,28,9,2018-09-02,0.07,16,155,0,
624190,Danforth/Greek Town  appartment,3096162,Brigitt,,Broadview North,43.69032,-79.35236,Entire home/apt,450,28,0,,,1,0,0,
1036076,"Luxury Apt, Garden,small Dog welcome, Ev Charger",4468895,Melanie,,Willowdale East,43.76633,-79.40424,Entire home/apt,118,28,32,2022-05-01,0.34,1,178,6,
625877,Calming Bedroom 2 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67639,-79.31017,Private room,37,30,18,2022-05-20,0.18,3,220,1,
625942,Calming Bedroom 3 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67739,-79.31034,Private room,37,28,9,2017-10-08,0.09,3,0,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,90,28,19,2021-08-09,0.13,16,314,1,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,150,28,57,2021-10-02,0.41,16,309,1,
1037034,Hip 3bdrm house with yard+garage,5709010,Jode,,Dovercourt-Wallace Emerson-Junction,43.66695,-79.42156,Entire home/apt,125,28,58,2020-01-09,0.53,1,0,0,
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.34,1,0,0,
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,45,80,12,2022-05-31,0.09,8,278,1,
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.64453,-79.40736,Private room,45,80,19,2022-04-30,0.14,8,164,2,
627217,parking space only,3057451,Jessica,,Weston-Pellam Park,43.67368,-79.46032,Shared room,100,28,0,,,1,0,0,
1042311,1 Bedroom in Leslieville Toronto!,5736902,Christine,,South Riverdale,43.666,-79.33684,Entire home/apt,80,30,34,2022-04-18,0.33,1,88,5,STR-2009-FKBDPB
638500,3 bdrm on Queen West TO,3178928,Lisa Marie,,South Parkdale,43.63907,-79.44036,Entire home/apt,95,28,10,2016-09-26,0.12,1,0,0,
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66949,-79.38384,Entire home/apt,125,28,55,2020-09-09,0.40,16,308,0,
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64605,-79.4069,Private room,60,30,11,2018-08-18,0.08,8,329,0,
1053365,B3-Bsmt Toronto Don Mills subway Fairview Mall A+R,65479,Irene,,Pleasant View,43.77993,-79.32822,Private room,44,28,2,2014-05-13,0.02,14,340,0,
638586,Toronto Downtown near TIFF &  Convention Centre,3186285,Solange,,Waterfront Communities-The Island,43.64356,-79.3903,Entire home/apt,300,28,62,2021-05-23,0.65,1,341,0,
